NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Fermium;257;100;;;;Fm;;;[Rn] 5f12 7s2;1.3;;;;;;;6.5;Watts/meter/degree Kelvin;10;Kelvin;1800;;;;;;;
Francium;223;87;1;Kelvin;950;Fr;;;[Rn] 7s1;0.7;Angstroms;2.7;;;;;0;Watts/meter/degree Kelvin;15;Kelvin;300;;;kilojoules/mole;64;kilojoules/mole;2.1;
Gallium;69.723;31;3;Kelvin;2478;Ga;grams/cubic centimeter;5.91;[Ar] 3d10 4s2 p1;1.81;Angstroms;1.41;cubic centimeters/mole;11.8;Joules/gram/degree Kelvin;0.371;5.999;Watts/meter/degree Kelvin;40.6;Kelvin;302.92;Angstroms;1.26;kilojoules/mole;256.06;kilojoules/mole;5.59;
Gadolinium;157.25;64;3;Kelvin;3545;Gd;grams/cubic centimeter;7.9;[Xe] 4f7 5d1 6s2;1.2;Angstroms;1.8;cubic centimeters/mole;19.9;Joules/gram/degree Kelvin;0.236;6.15;Watts/meter/degree Kelvin;10.6;Kelvin;1585;Angstroms;1.61;kilojoules/mole;311.71;kilojoules/mole;10.46;
Germanium;72.61;32;4;Kelvin;3107;Ge;grams/cubic centimeter;5.32;[Ar] 3d10 4s2 p2;2.01;Angstroms;1.37;cubic centimeters/mole;13.6;Joules/gram/degree Kelvin;0.32;7.899;Watts/meter/degree Kelvin;59.9;Kelvin;1211.5;Angstroms;1.22;kilojoules/mole;334.3;kilojoules/mole;31.8;
Hydrogen;1.00794;1;1;Kelvin;20.28;H;grams/cubic centimeter;0.0899;1s1;2.1;Angstroms;2.08;cubic centimeters/mole;14.1;Joules/gram/degree Kelvin;14.304;13.598;Watts/meter/degree Kelvin;0.1815;Kelvin;13.81;Angstroms;0.32;kilojoules/mole;0.4581;kilojoules/mole;0.0585;GAS
Helium;4.0026;2;;Kelvin;4.216;He;grams/cubic centimeter;0.1785;1s2;0;;;cubic centimeters/mole;31.8;Joules/gram/degree Kelvin;5.193;24.587;Watts/meter/degree Kelvin;0.152;Kelvin;0.95;Angstroms;0.93;kilojoules/mole;0.084;kilojoules/mole;0.021;GAS
Hafnium;178.49;72;4;Kelvin;4875;Hf;grams/cubic centimeter;13.31;[Xe] 4f14 5d2 6s2;1.3;Angstroms;1.67;cubic centimeters/mole;13.6;Joules/gram/degree Kelvin;0.14;6.65;Watts/meter/degree Kelvin;23;Kelvin;2504;Angstroms;1.44;kilojoules/mole;661.07;kilojoules/mole;21.76;
Mercury;200.59;80;2, 1;Kelvin;629.88;Hg;grams/cubic centimeter;13.55;[Xe] 4f14 5d10 6s2;2;Angstroms;1.6;cubic centimeters/mole;14.8;Joules/gram/degree Kelvin;0.140;10.437;Watts/meter/degree Kelvin;8.34;Kelvin;234.31;Angstroms;1.49;kilojoules/mole;59.3;kilojoules/mole;2.292;
Holmium;164.9303;67;3;Kelvin;2968;Ho;grams/cubic centimeter;8.8;[Xe] 4f11 6s2;1.23;Angstroms;1.79;cubic centimeters/mole;18.7;Joules/gram/degree Kelvin;0.165;6.02;Watts/meter/degree Kelvin;16.2;Kelvin;1747;Angstroms;1.58;kilojoules/mole;251.04;kilojoules/mole;11.06;
