NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Silicon;28.0855;14;4;Kelvin;2630;Si;grams/cubic centimeter;2.33;[Ne] 3s2 p2;1.9;Angstroms;1.32;cubic centimeters/mole;12.1;Joules/gram/degree Kelvin;0.70;8.151;Watts/meter/degree Kelvin;148;Kelvin;1683;Angstroms;1.11;kilojoules/mole;359;kilojoules/mole;50.2;
Samarium;150.36;62;3, 2;Kelvin;2067;Sm;grams/cubic centimeter;7.52;[Xe] 4f6 6s2;1.17;Angstroms;1.81;cubic centimeters/mole;19.9;Joules/gram/degree Kelvin;0.197;5.63;Watts/meter/degree Kelvin;13.3;Kelvin;1347;Angstroms;1.62;kilojoules/mole;191.63;kilojoules/mole;11.09;
Strontium;87.62;38;2;Kelvin;1655;Sr;grams/cubic centimeter;2.54;[Kr] 5s2;0.95;Angstroms;2.15;cubic centimeters/mole;33.7;Joules/gram/degree Kelvin;0.3;5.695;Watts/meter/degree Kelvin;35.3;Kelvin;1042;Angstroms;1.91;kilojoules/mole;136.9;kilojoules/mole;8.2;
Tantalum;180.9479;73;5;Kelvin;5730;Ta;grams/cubic centimeter;16.65;[Xe] 4f14 5d3 6s2;1.5;Angstroms;1.49;cubic centimeters/mole;10.9;Joules/gram/degree Kelvin;0.14;7.89;Watts/meter/degree Kelvin;57.5;Kelvin;3293;Angstroms;1.34;kilojoules/mole;737;kilojoules/mole;36;
Terbium;158.9253;65;3, 4;Kelvin;3500;Tb;grams/cubic centimeter;8.23;[Xe] 4f9 6s2;1.1;Angstroms;1.8;cubic centimeters/mole;19.2;Joules/gram/degree Kelvin;0.18;5.86;Watts/meter/degree Kelvin;11.1;Kelvin;1629;Angstroms;1.59;;;kilojoules/mole;15.48;
Technetium;98;43;7;Kelvin;4538;Tc;grams/cubic centimeter;11.5;[Kr] 4d5 5s2;1.9;Angstroms;1.36;cubic centimeters/mole;8.5;Joules/gram/degree Kelvin;0.24;7.28;Watts/meter/degree Kelvin;50.6;Kelvin;2477;Angstroms;1.27;kilojoules/mole;502;kilojoules/mole;23;
Tellurium;127.6;52;-2, 4, 6;Kelvin;1261;Te;grams/cubic centimeter;6.24;[Kr] 4d10 5s2 p4;2.1;Angstroms;1.42;cubic centimeters/mole;20.5;Joules/gram/degree Kelvin;0.202;9.009;Watts/meter/degree Kelvin;2.35;Kelvin;722.72;Angstroms;1.36;kilojoules/mole;50.63;kilojoules/mole;17.49;
Thorium;232.0381;90;4;Kelvin;5060;Th;grams/cubic centimeter;11.72;[Rn] 6d2 7s2;1.3;Angstroms;1.8;cubic centimeters/mole;19.9;Joules/gram/degree Kelvin;0.113;6.08;Watts/meter/degree Kelvin;54;Kelvin;2028;Angstroms;1.65;kilojoules/mole;543.92;kilojoules/mole;15.65;
Tin;118.71;50;4, 2;Kelvin;2876;Sn;grams/cubic centimeter;7.31;[Kr] 4d10 5s2 p2;1.96;Angstroms;1.62;cubic centimeters/mole;16.3;Joules/gram/degree Kelvin;0.228;7.344;Watts/meter/degree Kelvin;66.6;Kelvin;505.12;Angstroms;1.41;kilojoules/mole;290.37;kilojoules/mole;7.2;
Titanium;47.88;22;4, 3;Kelvin;3560;Ti;grams/cubic centimeter;4.54;[Ar] 3d2 4s2;1.54;Angstroms;1.45;cubic centimeters/mole;10.6;Joules/gram/degree Kelvin;0.523;6.82;Watts/meter/degree Kelvin;21.9;Kelvin;1945;Angstroms;1.32;kilojoules/mole;425.2;kilojoules/mole;18.6;
Thallium;204.383;81;3, 1;Kelvin;1746;Tl;grams/cubic centimeter;11.85;[Xe] 4f14 5d10 6s2 p1;2.04;Angstroms;1.71;cubic centimeters/mole;17.2;Joules/gram/degree Kelvin;0.129;6.108;Watts/meter/degree Kelvin;46.1;Kelvin;577;Angstroms;1.48;kilojoules/mole;162.09;kilojoules/mole;4.27;
Thulium;168.9342;69;3, 2;Kelvin;2223;Tm;grams/cubic centimeter;9.32;[Xe] 4f13 6s2;1.25;Angstroms;1.77;cubic centimeters/mole;18.1;Joules/gram/degree Kelvin;0.16;6.184;Watts/meter/degree Kelvin;16.8;Kelvin;1818;Angstroms;1.56;kilojoules/mole;191;kilojoules/mole;16.8;
Uranium;238.029;92;6, 5, 4, 3;Kelvin;4407;U;grams/cubic centimeter;18.95;[Rn] 5f3 6d1 7s2;1.38;Angstroms;1.38;cubic centimeters/mole;12.5;Joules/gram/degree Kelvin;0.12;6.05;Watts/meter/degree Kelvin;27.6;Kelvin;1408;Angstroms;1.42;kilojoules/mole;422.58;kilojoules/mole;15.48;
ununbium;277;112;;;;Uub;;;[Rn] 5f14 6d10 7s2;;;;;;;;;;;;;;;;;;;
ununnilium;269;110;;;;Uun;;;[Rn] 5f14 6d8 7s2;;;;;;;;;;;;;;;;;;;
unununium;272;111;;;;Uuu;;;[Rn] 5f14 6d9 7s2;;;;;;;;;;;;;;;;;;;
Vanadium;50.9415;23;5, 4, 3, 2;Kelvin;3650;V;grams/cubic centimeter;6.11;[Ar] 3d3 4s2;1.63;Angstroms;1.34;cubic centimeters/mole;8.35;Joules/gram/degree Kelvin;0.489;6.74;Watts/meter/degree Kelvin;30.7;Kelvin;2163;Angstroms;1.22;kilojoules/mole;446.7;kilojoules/mole;20.8;
Tungsten;183.85;74;6, 5, 4, 3, 2;Kelvin;5825;W;grams/cubic centimeter;19.3;[Xe] 4f14 5d4 6s2;2.36;Angstroms;1.41;cubic centimeters/mole;9.53;Joules/gram/degree Kelvin;0.13;7.98;Watts/meter/degree Kelvin;174;Kelvin;3695;Angstroms;1.3;kilojoules/mole;422.58;kilojoules/mole;35.4;
Xenon;131.29;54;;Kelvin;165.1;Xe;grams/cubic centimeter;5.9;[Kr] 4d10 5s2 p6;2.6;Angstroms;1.24;cubic centimeters/mole;42.9;Joules/gram/degree Kelvin;0.158;12.13;Watts/meter/degree Kelvin;0.00569;Kelvin;161.39;Angstroms;1.31;kilojoules/mole;12.64;kilojoules/mole;2.3;GAS
Yttrium;88.9059;39;3;Kelvin;3611;Y;grams/cubic centimeter;4.47;[Kr] 4d1 5s2;1.22;Angstroms;1.78;cubic centimeters/mole;19.8;Joules/gram/degree Kelvin;0.3;6.38;Watts/meter/degree Kelvin;17.2;Kelvin;1795;Angstroms;1.62;kilojoules/mole;363.3;kilojoules/mole;17.5;
Ytterbium;173.04;70;3, 2;Kelvin;1469;Yb;grams/cubic centimeter;6.97;[Xe] 4f14 6s2;1.1;Angstroms;1.94;cubic centimeters/mole;24.8;Joules/gram/degree Kelvin;0.155;6.254;Watts/meter/degree Kelvin;34.9;Kelvin;1092;Angstroms;1.7;kilojoules/mole;128;kilojoules/mole;7.7;
Zinc;65.39;30;2;Kelvin;1180;Zn;grams/cubic centimeter;7.13;[Ar] 3d10 4s2;1.65;Angstroms;1.38;cubic centimeters/mole;9.2;Joules/gram/degree Kelvin;0.388;9.394;Watts/meter/degree Kelvin;116;Kelvin;692.73;Angstroms;1.25;kilojoules/mole;115.3;kilojoules/mole;7.38;
Zirconium;91.224;40;4;Kelvin;4682;Zr;grams/cubic centimeter;6.51;[Kr] 4d2 5s2;1.33;Angstroms;1.6;cubic centimeters/mole;14.1;Joules/gram/degree Kelvin;0.278;6.84;Watts/meter/degree Kelvin;22.7;Kelvin;2128;Angstroms;1.45;kilojoules/mole;590.5;kilojoules/mole;21;
